Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
166,Howard Bison,Washington D.C.,1974,2020,47,1341,518,823,.386,-15.18,-9.79,0,4,3,2,0,0
167,Idaho State Bengals,Pocatello Idaho,1959,2020,62,1707,751,956,.440,-6.43,-2.62,0,4,2,5,0,0
168,Idaho Vandals,Moscow Idaho,1906,2020,115,2868,1350,1516,.471,-4.08,-1.12,1,7,4,4,0,0
169,Illinois Fighting Illini,Champaign Illinois,1906,2020,115,2824,1804,1020,.639,12.81,7.65,26,17,2,30,5,0
170,Illinois State Redbirds,Normal Illinois,1899,2020,61,1565,936,629,.598,3.61,1.77,0,6,4,6,0,0
171,Illinois Wesleyan Titans,Bloomington Illinois,1928,1928,1,14,13,1,.929,,,0,0,0,,,
172,Illinois-Chicago Flames,Chicago Illinois,1982,2020,39,1179,565,614,.479,-2.89,-1.14,0,2,2,3,0,0
173,Incarnate Word Cardinals,San Antonio Texas,2014,2020,7,195,87,108,.446,-13.19,-6.43,0,0,0,0,0,0
174,Indiana Hoosiers,Bloomington Indiana,1901,2020,120,2908,1848,1060,.635,13.91,8.07,28,22,0,39,8,5
175,Indiana State Sycamores,Terre Haute Indiana,1900,2020,98,2191,1130,1061,.516,-0.18,1.88,1,2,3,4,1,0
176,Iona Gaels,New Rochelle New York,1954,2020,67,1837,1028,809,.560,-4.22,-3.56,1,11,11,14,0,0
177,Iowa Hawkeyes,Iowa City Iowa,1893,2020,123,2850,1669,1180,.586,11.19,7.35,18,8,2,26,3,0
178,Iowa State Cyclones,Ames Iowa,1908,2020,113,2719,1383,1336,.509,6.82,6.33,10,6,6,20,1,0
179,IUPUI Jaguars,Indianapolis Indiana,1999,2020,22,679,317,362,.467,-5.03,-2.54,0,1,1,1,0,0
180,Jackson State Tigers,Jackson Mississippi,1978,2020,43,1286,602,684,.468,-11.20,-8.62,0,7,4,3,0,0
181,Jacksonville Dolphins,Jacksonville Florida,1967,2020,54,1554,761,793,.490,-3.65,-2.08,2,2,2,5,1,0
182,Jacksonville State Gamecocks,Jacksonville Alabama,1996,2020,25,735,317,418,.431,-9.33,-6.33,0,0,1,1,0,0
183,James Madison Dukes,Harrisonburg Virginia,1977,2020,44,1309,665,644,.508,-2.45,-2.27,0,7,3,5,0,0
184,John Carroll Blue Streaks,University Heights Ohio,1948,1955,8,191,80,111,.419,-9.26,-0.19,0,0,0,0,0,0
185,Kalamazoo Hornets,Kalamazoo Michigan,1908,1923,16,193,134,59,.694,,,0,0,0,,,
186,Kansas Jayhawks,Lawrence Kansas,1899,2020,122,3155,2293,862,.727,15.75,7.14,44,61,15,48,15,3
187,Kansas State Wildcats,Manhattan Kansas,1906,2020,115,2833,1666,1167,.588,10.36,6.26,16,19,2,31,4,0
188,Kennesaw State Owls,Kennesaw Georgia,2010,2020,11,335,85,250,.254,-14.15,-3.31,0,0,0,0,0,0
189,Kent State Golden Flashes,Kent Ohio,1914,2020,101,2426,1200,1226,.495,-2.04,-0.33,0,9,6,6,0,0
190,Kentucky Wesleyan Panthers,Owensboro Kentucky,1957,1958,2,52,30,22,.577,-4.61,-2.27,0,0,0,0,0,0
191,Kentucky Wildcats,Lexington Kentucky,1903,2020,117,3025,2312,712,.765,17.66,6.69,52,55,33,59,17,8
192,La Salle Explorers,Philadelphia Pennsylvania,1932,2020,89,2386,1383,1003,.580,2.76,0.63,6,9,8,12,2,1
193,Lafayette Leopards,Easton Pennsylvania,1901,2020,110,2625,1348,1277,.514,-8.09,-6.90,0,17,3,4,0,0
194,Lake Forest Foresters,Lake Forest Illinois,1905,1916,12,144,89,55,.618,,,0,0,0,,,
195,Lamar Cardinals,Beaumont Texas,1970,2020,51,1477,757,720,.513,-4.77,-3.99,0,9,4,6,0,0
196,Latter Day Saints University,Salt Lake City Utah,1903,1903,1,16,15,1,.938,,,0,0,0,,,
197,Lawrence Vikings,Appleton Wisconsin,1948,1948,1,28,22,6,.786,,,0,0,0,0,0,0
198,Lehigh Mountain Hawks,Bethlehem Pennsylvania,1902,2020,119,2544,1112,1432,.437,-13.02,-7.47,0,4,5,5,0,0
199,Lewis Institute,Chicago Illinois,1905,1905,1,25,20,5,.800,,,0,0,0,,,
200,Liberty Flames,Lynchburg Virginia,1989,2020,32,979,474,505,.484,-9.70,-6.93,0,3,4,4,0,0
201,Lipscomb Bisons,Nashville Tennessee,2004,2020,17,521,274,247,.526,-5.46,-4.39,0,3,1,1,0,0
202,Little Rock Trojans,Little Rock Arkansas,1979,2020,42,1254,693,561,.553,-3.18,-3.52,0,12,5,5,0,0
203,Long Island University Sharks,Brooklyn New York,1929,2020,75,2009,1122,885,.559,-9.27,-6.40,1,9,6,7,0,0
204,Longwood Lancers,Farmville Virginia,2008,2020,13,407,134,273,.329,-15.96,-5.52,0,0,0,0,0,0
205,Louisiana Ragin' Cajuns,Lafayette Louisiana,1972,2020,49,1414,820,594,.580,0.63,-1.11,2,10,7,10,0,0
206,Louisiana State Fighting Tigers,Baton Rouge Louisiana,1909,2020,112,2770,1579,1191,.570,5.62,4.41,13,12,1,22,4,0
207,Louisiana Tech Bulldogs,Ruston Louisiana,1974,2020,47,1402,812,590,.579,-0.10,-1.64,1,10,6,5,0,0
208,Louisiana-Monroe Warhawks,Monroe Louisiana,1974,2020,47,1378,719,659,.522,-4.68,-4.28,0,10,8,7,0,0
209,Louisville Cardinals,Louisville Kentucky,1912,2020,106,2797,1865,932,.667,13.54,6.47,34,23,17,43,10,3
