seed,school_common_name,site,year,id,school_full_name,team,city,state,type,conference,address,lng,lat,geometry,distance
2.0,Miami (FL),"Austin, TX",2013.0,2013100,University of Miami,Hurricanes,Coral Gables,Florida,Private/Non-Sectarian,Atlantic Coast Conference,University of Miami Coral Gables Florida,-80.27869157646253,25.7172788,POINT (-80.27869157646253 25.7172788),1109.63190438
2.0,Duke,"Philadelphia, PA",2013.0,2013101,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,Duke University Durham North Carolina,-78.94422972195878,36.00015569999999,POINT (-78.94422972195878 36.00015569999999),341.94667501
2.0,Ohio State,"Dayton, OH",2013.0,2013102,The Ohio State University,Buckeyes,Columbus,Ohio,State,Big Ten Conference,The Ohio State University Columbus Ohio,-83.02866259769122,40.00570905,POINT (-83.02866259769122 40.00570905),63.97014445
2.0,Georgetown,"Philadelphia, PA",2013.0,2013103,Georgetown University,Hoyas,Washington,District of Columbia,Private/Catholic,Big East Conference,Georgetown University Washington District of Columbia,-77.07457962060826,38.90893925,POINT (-77.07457962060826 38.90893925),124.90799842000001
3.0,Marquette,"Lexington, KY",2013.0,2013104,Marquette University,Golden Eagles,Milwaukee,Wisconsin,Private/Catholic,Big East Conference,Marquette University Milwaukee Wisconsin,-87.93155449905072,43.03889625,POINT (-87.93155449905072 43.03889625),389.15222988
3.0,Michigan State,"Auburn Hills, MI",2013.0,2013105,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference,Michigan State University East Lansing Michigan,-84.47791570930522,42.71856800000001,POINT (-84.47791570930522 42.71856800000001),63.1934307
3.0,New Mexico,"Salt Lake City, UT",2013.0,2013106,University of New Mexico,Lobos,Albuquerque,New Mexico,State,Mountain West Conference,University of New Mexico Albuquerque New Mexico,-106.62020940505188,35.08663275,POINT (-106.6202094050519 35.08663275),485.61386392
3.0,Florida,"Austin, TX",2013.0,2013107,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference,University of Florida Gainesville Florida,-82.34901330482433,29.6328784,POINT (-82.34901330482433 29.6328784),921.95922125
4.0,Syracuse,"San Jose, CA",2013.0,2013108,Syracuse University,Orange,Syracuse,New York,Private/Methodist,Atlantic Coast Conference,Syracuse University Syracuse New York,-76.1333088275183,43.03830645,POINT (-76.13330882751831 43.03830645),2416.71687143
4.0,Saint Louis,"San Jose, CA",2013.0,2013109,Saint Louis University,Billikens,St. Louis,Missouri,Private/Catholic,Atlantic 10 Conference,Saint Louis University St. Louis Missouri,-90.23167733181542,38.6352837,POINT (-90.23167733181542 38.6352837),1717.82983918
4.0,Kansas State,"Kansas City, MO",2013.0,2013110,Kansas State University,Wildcats,Manhattan,Kansas,State,Big 12 Conference,Kansas State University Manhattan Kansas,-96.58844409645442,39.2087029,POINT (-96.58844409645442 39.2087029),107.96942496
4.0,Michigan,"Auburn Hills, MI",2013.0,2013111,University of Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference,University of Michigan Ann Arbor Michigan,-83.71003893509602,42.294214200000006,POINT (-83.71003893509602 42.29421420000001),36.41855431
