school_common_name,school_full_name,team,city,state,type,conference,address,lng,lat,key_0,count_dist,mean_dist,std_dist,min_dist,25%_dist,50%_dist,75%_dist,max_dist,count_wtDist,mean_wtDist,std_wtDist,min_wtDist,25%_wtDist,50%_wtDist,75%_wtDist,max_wtDist
Memphis,University of Memphis,Tigers,Memphis,Tennessee,State,American Athletic Conference,University of Memphis Memphis Tennessee,-89.93721959965887,35.1189387,Memphis,5.0,350.532779488,134.1902257372379,134.14157148,330.92976718000006,375.46342675,425.05504626,487.07408577,5.0,274.31292714399996,125.05180731786477,134.14157148,165.46488359000003,281.5975700625,365.3055643275,425.05504626
Oklahoma,University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference,University of Oklahoma Norman Oklahoma,-97.44570827599856,35.1959878,Oklahoma,15.0,496.38015211333345,331.3943822429659,19.55454537,241.89973030000004,417.52402974000006,803.54454978,991.84481762,15.0,272.7896361375,213.91159848270527,14.6659090275,104.7398491875,234.39822890250008,401.77227489,749.77731715
Syracuse,Syracuse University,Orange,Syracuse,New York,Private/Methodist,Atlantic Coast Conference,Syracuse University Syracuse New York,-76.1333088275183,43.03830645,Syracuse,18.0,637.0930671244446,726.7172902853575,0.98176618,161.0143138025,293.377210795,1040.078741495,2416.71687143,18.0,271.3254444172222,260.0549322893665,0.736324635,89.60247491375,182.12150995874998,394.12708144875,994.0988409225
South Carolina,University of South Carolina,Gamecocks,Columbia,South Carolina,State,Southeastern Conference,University of South Carolina Columbia South Carolina,-81.0268516571211,33.992829799999996,South Carolina,2.0,426.97508265,31.432933838794924,404.74864198,415.861862315,426.97508265,438.088302985,449.20152332,2.0,269.63773174,95.12482773412222,202.37432099,236.006026365,269.63773174,303.26943711499996,336.90114249
Arkansas,University of Arkansas,Razorbacks,Fayetteville,Arkansas,State,Southeastern Conference,University of Arkansas Fayetteville Arkansas,-94.17609533911696,36.06515200000001,Arkansas,7.0,524.66081756,185.14971191498134,191.70538092,450.27649515,576.8186992999998,613.1285136850001,777.2916250300002,7.0,266.5692685910714,156.96760349491953,112.5691237875,175.98624804750003,194.32290625750005,315.15082734875,576.8186992999998
San Diego State,San Diego State University,Aztecs,San Diego,California,State,Mountain West Conference,San Diego State University San Diego California,-117.07385052563076,32.77481589999999,San Diego State,2.0,692.943618635,474.53009330775694,357.40017178,525.1718952075,692.943618635,860.7153420625001,1028.48706549,2.0,262.58594760375,7.72751920449826,257.1217663725,259.853856988125,262.58594760375,265.318038219375,268.050128835
Georgetown,Georgetown University,Hoyas,Washington,District of Columbia,Private/Catholic,Big East Conference,Georgetown University Washington District of Columbia,-77.07457962060826,38.90893925,Georgetown,12.0,485.12401644833335,599.8540913463972,96.67911389,253.4867460225,342.01813267500006,410.7588529775,2345.15357336,12.0,250.74857114916668,168.83007930737207,72.5093354175,145.7099460725,187.56782677375003,317.62000036,586.28839334
Washington State,Washington State University,Cougars,Pullman,Washington,State,Pac-12 Conference,Washington State University Pullman Washington,-117.14527589317328,46.73357155,Washington State,2.0,691.5859230000001,122.7351934376431,604.79903543,648.192479215,691.5859230000001,734.9793667850001,778.3728105700002,2.0,248.49636017875002,76.23057644249823,194.59320264250005,221.54478141062503,248.49636017875002,275.447938946875,302.399517715
UMass,University of Massachusetts Amherst,Minutemen,Amherst,Massachusetts,State,Atlantic 10 Conference,University of Massachusetts Amherst Amherst Massachusetts,-72.52991477067445,42.3869382,UMass,5.0,340.872945922,563.1054687636689,38.1521794,65.00162031,69.22072940000001,189.21368321,1342.77651729,5.0,247.747452781,425.3832026534965,19.0760897,48.7512152325,69.22072940000001,94.606841605,1007.0823879674999
Boston College,Boston College,Eagles,Chestnut Hill,Massachusetts,Private/Catholic,Atlantic Coast Conference,Boston College Chestnut Hill Massachusetts,-71.16813864023061,42.3354481,Boston College,3.0,933.5022231933332,1017.4243414808024,168.54067004,356.166750345,543.79283065,1315.9829997699999,2088.17316889,3.0,247.42061163499997,239.22972881732662,84.27033502,110.10927134125001,135.9482076625,328.99574994249997,522.0432922225
