school_common_name,year,school_full_name,team,city,state,type,conference,address,lng,lat,weightedDist,count,mean,std,min,25%,50%,75%,max
Indiana,2013.0,Indiana University,Hoosiers,Bloomington,Indiana,State,Big Ten Conference,Indiana University Bloomington Indiana,-86.51623218881414,39.17798065,148.92001413737015,10.0,954.4863300440338,890.0770229774533,42.90609003097396,92.89446539864511,781.0064884658723,1794.1621448430556,2281.5400696960583
Ohio State,2013.0,The Ohio State University,Buckeyes,Columbus,Ohio,State,Big Ten Conference,The Ohio State University Columbus Ohio,-83.02866259769122,40.00570905,55.4149690309041,11.0,351.9748766766052,441.5849358129188,73.88662537453881,90.94029278157976,190.7828117023789,345.62875943998654,1499.6627476394654
Marquette,2013.0,Marquette University,Golden Eagles,Milwaukee,Wisconsin,Private/Catholic,Big East Conference,Marquette University Milwaukee Wisconsin,-87.93155449905072,43.03889625,188.30866676689595,4.0,490.9582250873902,364.00449634099414,231.2198578647417,302.73820461786846,351.59749353468465,539.8175140042064,1029.4180554154498
New Mexico,2013.0,University of New Mexico,Lobos,Albuquerque,New Mexico,State,Mountain West Conference,University of New Mexico Albuquerque New Mexico,-106.62020940505188,35.08663275,240.5464169110473,4.0,1128.9536790383997,525.3460450653688,481.0928338220946,839.7502842716831,1173.258605479819,1462.4620002465356,1688.2046713718667
Saint Louis,2013.0,Saint Louis University,Billikens,St. Louis,Missouri,Private/Catholic,Atlantic 10 Conference,Saint Louis University St. Louis Missouri,-90.23167733181542,38.6352837,492.31740657162806,1.0,1969.2696262865122,,1969.2696262865122,1969.2696262865122,1969.2696262865122,1969.2696262865122,1969.2696262865122
Missouri,2012.0,University of Missouri,Tigers,Columbia,Missouri,State,Southeastern Conference,University of Missouri Columbia Missouri,-92.32970301784542,38.93641465,200.0321608943475,6.0,799.5776362675209,503.91793457999694,266.70954785913,408.49765243308764,701.3755251737825,1154.3068947369334,1511.8495066209232
Pittsburgh,2011.0,University of Pittsburgh,Panthers,Pittsburgh,Pennsylvania,State-related,Atlantic Coast Conference,University of Pittsburgh Pittsburgh Pennsylvania,-79.96243992762706,40.44415295,205.76402861387496,11.0,668.8605372859439,619.0555258387067,1.7250032330355916,236.01798412253942,520.2659328699443,803.5204219962047,1994.010089352764
BYU,2011.0,Brigham Young University,Cougars,Provo,Utah,Private/Latter-Day Saints,West Coast Conference,Brigham Young University Provo Utah,-111.64965660160264,40.25501105,207.72908256545293,2.0,1078.6144280702388,937.8445810214628,415.45816513090585,747.0362966005723,1078.6144280702388,1410.1925595399052,1741.7706910095715
UConn,2011.0,University of Connecticut,Huskies,Storrs,Connecticut,State,American Athletic Conference,University of Connecticut Storrs Connecticut,-72.25401403745809,41.81127235,174.07091458695996,13.0,654.7065975755409,774.8702162667397,27.304459479396826,214.5716402135709,348.1418291739199,873.4380051132277,2464.0605197641844
Texas,2011.0,University of Texas at Austin,Longhorns,Austin,Texas,State,Big 12 Conference,University of Texas at Austin Austin Texas,-97.73195598080221,30.284151,95.146888368702,6.0,677.7413069295961,514.4018896670993,165.4307720311215,395.2898492426393,573.9142578670597,732.5700329974532,1631.9848827369192
Vanderbilt,2010.0,Vanderbilt University,Commodores,Nashville,Tennessee,Private/Non-Sectarian,Southeastern Conference,Vanderbilt University Nashville Tennessee,-86.80281889095295,36.14380105,545.4943921919773,4.0,1631.4079184786788,757.4468102028203,576.5222702373412,1332.9962671655016,1883.5659174547322,2181.9775687679094,2181.9775687679094
Memphis,2009.0,University of Memphis,Tigers,Memphis,Tennessee,State,American Athletic Conference,University of Memphis Memphis Tennessee,-89.93721959965887,35.1189387,285.01677347335567,5.0,350.3619915180093,132.58274988709965,146.4218860820057,300.6411988898921,380.0223646311409,450.50554443066915,474.2189635563387
Washington,2009.0,University of Washington,Huskies,Seattle,Washington,State,Pac-12 Conference,University of Washington Seattle Washington,-122.30800894320257,47.65432379999999,33.643034367330216,2.0,294.7939713635564,226.58789048151715,134.57213746932086,214.68305441643864,294.7939713635564,374.9048883106742,455.01580525779195
Stanford,2008.0,Stanford University,Cardinal,Palo Alto,California,Private/Non-Sectarian,Pac-12 Conference,Stanford University Palo Alto California,-122.16936535498309,37.43131385,173.1942916913874,8.0,1218.8000282916187,943.3842546507645,346.3885833827748,581.0736479357481,666.5297172907478,2176.3739996156482,2635.125228342715
Washington State,2008.0,Washington State University,Cougars,Pullman,Washington,State,Pac-12 Conference,Washington State University Pullman Washington,-117.14527589317328,46.73357155,217.96789022984368,2.0,723.0578251888808,210.4544033374701,574.244089458387,648.6509573236339,723.0578251888808,797.4646930541278,871.8715609193747
Southern Illinois,2007.0,Southern Illinois University Carbondale,Salukis,Carbondale,Illinois,State,Missouri Valley Conference,Southern Illinois University Carbondale Carbondale Illinois,-89.21512201981972,37.7225014,102.63697409754046,1.0,410.54789639016184,,410.54789639016184,410.54789639016184,410.54789639016184,410.54789639016184,410.54789639016184
Iowa,2006.0,University of Iowa,Hawkeyes,Iowa City,Iowa,State,Big Ten Conference,University of Iowa Iowa City Iowa,-91.57318762552627,41.66590100000001,261.0762085825177,4.0,892.511799876731,469.31538271143125,453.8222825393826,505.0698835086223,887.5825212804473,1275.0244376485562,1341.0598744066467
Boston College,2006.0,Boston College,Eagles,Chestnut Hill,Massachusetts,Private/Catholic,Atlantic Coast Conference,Boston College Chestnut Hill Massachusetts,-71.16813864023061,42.3354481,633.1438788390898,3.0,1123.4172007573225,1243.2331084116765,181.49189297656815,418.83804345780425,656.1841939390404,1594.3798546476996,2532.575515356359
Illinois,2006.0,University of Illinois at Urbana–Champaign,Fighting Illini,Urbana–Champaign,Illinois,State,Big Ten Conference,University of Illinois at Urbana–Champaign Urbana–Champaign Illinois,-88.22402607254264,40.106650099999996,464.0651705476411,11.0,439.83526413831294,500.0972448829876,116.0828118570668,130.09306175133221,251.54642803007926,505.6590672535558,1856.2606821905645
Wake Forest,2005.0,Wake Forest University,Demon Deacons,Winston-Salem,North Carolina,Private/Non-Sectarian,Atlantic Coast Conference,Wake Forest University Winston-Salem North Carolina,-80.2781152,36.134335,258.89596933672345,6.0,639.9929222536161,655.5397320185514,104.21357136769537,311.84532791974016,435.864715023125,611.667851816625,1923.2401024746812
Oklahoma State,2005.0,Oklahoma State University–Stillwater,Cowboys,Stillwater,Oklahoma,State,Big 12 Conference,Oklahoma State University–Stillwater Stillwater Oklahoma,-97.08853714697358,36.12958010000001,36.54689736309991,7.0,700.2836490123196,576.0140848128585,48.72919648413321,145.22318206640335,802.9554183507981,1236.0379799055595,1287.7786043073804
